trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
187,False,"{'a': 0.001, 'e': 0.8294437363854039}",30,0,-24.33251128133467,"{0: 24, 1: 1, 2: 5, 3: 0, 4: 0}",0
188,False,"{'a': 0.001, 'e': 0.8286147072326806}",25,0,-203.41869042989322,"{0: 10, 1: 5, 2: 5, 3: 3, 4: 2}",0
189,False,"{'a': 0.001, 'e': 0.8277865066947336}",20,0,-105.62634628367515,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
190,False,"{'a': 0.001, 'e': 0.8269591339433623}",35,0,-94.90521077076825,"{0: 24, 1: 3, 2: 7, 3: 0, 4: 1}",0
191,False,"{'a': 0.001, 'e': 0.8261325881511938}",25,0,-119.48142275231292,"{0: 16, 1: 0, 2: 6, 3: 2, 4: 1}",0
192,False,"{'a': 0.001, 'e': 0.8253068684916823}",20,7,-66.97230124709652,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 1}",1
193,False,"{'a': 0.001, 'e': 0.8244819741391082}",20,0,-81.31960843679471,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
194,False,"{'a': 0.001, 'e': 0.8236579042685769}",25,11,-38.868475842673774,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 1}",1
195,False,"{'a': 0.001, 'e': 0.8228346580560184}",30,0,-206.91709173735,"{0: 19, 1: 1, 2: 6, 3: 0, 4: 4}",0
196,False,"{'a': 0.001, 'e': 0.8220122346781865}",35,0,-192.92175429720865,"{0: 18, 1: 7, 2: 6, 3: 2, 4: 2}",0
197,False,"{'a': 0.001, 'e': 0.821190633312658}",30,13,-37.012637833810004,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 0}",1
198,False,"{'a': 0.001, 'e': 0.8203698531378311}",20,0,-105.55429540319075,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
